gene_id	median_abs_deviation
GSM2667747_x	118.2
GSM2667748_x	65.7588
GSM2667749_x	32.6376
GSM2667750_x	183.5604
GSM2667751_x	103.0294
GSM2667752_x	141.995
GSM2667753_x	30.2054
GSM2667754_x	23.5526
GSM2667755_x	117.9994
GSM2667756_x	130.0562
GSM2667757_x	153.1892
GSM2667758_x	37.2167
GSM2667759_x	21.8599
GSM2667760_x	173.5823
GSM2667761_x	112.5328
GSM2667762_x	151.8109
GSM2667763_x	47.953
GSM2667764_x	40.9675
GSM2667765_x	158.9309
GSM2667766_x	106.4505
GSM2667767_x	168.8166
GSM2667768_x	30.8722
GSM2667769_x	13.9835
GSM2667770_x	116.445
GSM2667771_x	129.5904
GSM2667772_x	182.3094
GSM2667773_x	53.543
GSM2667774_x	31.4104
GSM2667775_x	139.7126
GSM2667776_x	99.1898
GSM2667777_x	58.7774
GSM2667778_x	200.4963
GSM2667779_x	17.3005
GSM2667780_x	105.4039
GSM2667781_x	105.2204
GSM2667782_x	254.9619
GSM2667783_x	270.2929
GSM2667784_x	66.7249
GSM2667785_x	103.1861
GSM2667786_x	140.011
GSM2667747_y	118.2
GSM2667748_y	65.7588
GSM2667749_y	32.6376
GSM2667750_y	183.5604
GSM2667751_y	103.0294
GSM2667752_y	141.995
GSM2667753_y	30.2054
GSM2667754_y	23.5526
GSM2667755_y	117.9994
GSM2667756_y	130.0562
GSM2667757_y	153.1892
GSM2667758_y	37.2167
GSM2667759_y	21.8599
GSM2667760_y	173.5823
GSM2667761_y	112.5328
GSM2667762_y	151.8109
GSM2667763_y	47.953
GSM2667764_y	40.9675
GSM2667765_y	158.9309
GSM2667766_y	106.4505
GSM2667767_y	168.8166
GSM2667768_y	30.8722
GSM2667769_y	13.9835
GSM2667770_y	116.445
GSM2667771_y	129.5904
GSM2667772_y	182.3094
GSM2667773_y	53.543
GSM2667774_y	31.4104
GSM2667775_y	139.7126
GSM2667776_y	99.1898
GSM2667777_y	58.7774
GSM2667778_y	200.4963
GSM2667779_y	17.3005
GSM2667780_y	105.4039
GSM2667781_y	105.2204
GSM2667782_y	254.9619
GSM2667783_y	270.2929
GSM2667784_y	66.7249
GSM2667785_y	103.1861
GSM2667786_y	140.011
GSM2667747	118.2
GSM2667748	65.7588
GSM2667749	32.6376
GSM2667750	183.5604
GSM2667751	103.0294
GSM2667752	141.995
GSM2667753	30.2054
GSM2667754	23.5526
GSM2667755	117.9994
GSM2667756	130.0562
GSM2667757	153.1892
GSM2667758	37.2167
GSM2667759	21.8599
GSM2667760	173.5823
GSM2667761	112.5328
GSM2667762	151.8109
GSM2667763	47.953
GSM2667764	40.9675
GSM2667765	158.9309
GSM2667766	106.4505
GSM2667767	168.8166
GSM2667768	30.8722
GSM2667769	13.9835
GSM2667770	116.445
GSM2667771	129.5904
GSM2667772	182.3094
GSM2667773	53.543
GSM2667774	31.4104
GSM2667775	139.7126
GSM2667776	99.1898
GSM2667777	58.7774
GSM2667778	200.4963
GSM2667779	17.3005
