gene_id	median_abs_deviation
GSM2667747	118.2
GSM2667748	65.7588
GSM2667749	32.6376
GSM2667750	183.5604
GSM2667751	103.0294
GSM2667752	141.995
GSM2667753	30.2054
GSM2667754	23.5526
GSM2667755	117.9994
GSM2667756	130.0562
GSM2667757	153.1892
GSM2667758	37.2167
GSM2667759	21.8599
GSM2667760	173.5823
GSM2667761	112.5328
GSM2667762	151.8109
GSM2667763	47.953
GSM2667764	40.9675
GSM2667765	158.9309
GSM2667766	106.4505
GSM2667767	168.8166
GSM2667768	30.8722
GSM2667769	13.9835
GSM2667770	116.445
GSM2667771	129.5904
GSM2667772	182.3094
GSM2667773	53.543
GSM2667774	31.4104
GSM2667775	139.7126
GSM2667776	99.1898
GSM2667777	58.7774
GSM2667778	200.4963
GSM2667779	17.3005
GSM2667780	105.4039
GSM2667781	105.2204
GSM2667782	254.9619
GSM2667783	270.2929
GSM2667784	66.7249
GSM2667785	103.1861
GSM2667786	140.011
GSM2668081	40.2815
GSM2668082	36.985
GSM2668083	36.8433
GSM2668084	32.49925
GSM2668085	36.1482
GSM2668086	37.24745
GSM2668087	33.491249999999994
GSM2668088	39.71295
GSM2668089	36.0507
GSM2671001	61.0833
GSM2671002	148.6713
GSM2671003	63.06425
GSM2671004	82.79140000000001
GSM2671005	59.993
GSM2671006	123.21345
GSM2670874	40.19345
GSM2670875	38.42545
GSM2670876	44.026650000000004
GSM2670877	42.985150000000004
GSM2670878	45.957049999999995
GSM2670879	51.81125
GSM2670880	40.80845
GSM2670881	44.44235
GSM2670882	43.70185
GSM2670883	46.3177
GSM2670884	45.80435
GSM2670885	50.676199999999994
GSM2670886	69.48585
GSM2670887	67.27065
GSM2670888	62.07965
GSM2670929	41.279250000000005
GSM2670930	52.724900000000005
GSM2670931	45.0189
GSM2670932	39.88695
GSM2670933	42.93505
GSM2670934	64.96770000000001
GSM2670935	38.974450000000004
GSM2670936	51.0338
GSM2670937	41.66985
GSM2670938	33.7672
GSM2670939	47.937349999999995
GSM2670940	28.232349999999997
GSM2670941	54.143100000000004
GSM2670942	39.012
GSM2670943	39.794650000000004
GSM2670944	57.9992
GSM2671095	44.468149999999994
GSM2671096	56.0409
GSM2671097	59.1158
GSM2671098	55.7444
GSM2671099	49.5513
GSM2671100	37.12575
GSM2671101	58.93905
GSM2671102	56.9898
GSM2671215	5.0
GSM2671216	7.577
GSM2671217	5.1208
GSM2671218	8.0
GSM2671219	5.0
GSM2671220	5.0
GSM2671221	4.4579
GSM2671222	4.0
GSM2671223	4.0
GSM2671224	3.0661
GSM2671225	7.0
GSM2671226	7.5
GSM2671227	7.0
GSM2671228	6.0504999999999995
GSM2671229	5.0
GSM2671230	4.0
GSM2671231	3.01595
GSM2671232	4.4306
GSM2671233	6.8832
GSM2671234	4.0
GSM2671235	5.46105
GSM2671236	6.0
GSM2671237	1.0
GSM2671238	2.0
GSM2671239	6.4796499999999995
GSM2671240	2.0168
GSM2671241	6.0
GSM2671242	8.00505
GSM2671243	4.78365
GSM2671244	3.3197
GSM2671245	1.0
GSM2671246	8.0
GSM2671247	6.0
GSM2671248	7.0
GSM2671249	7.049300000000001
GSM2671250	4.0
