entrez_gene_id	symbol	description	chromosome	gene_type	synonyms	aliases
1	A1BG	alpha-1-B glycoprotein	19	protein-coding	A1B|ABG|GAB|HYST2477	alpha-1B-glycoprotein|HEL-S-163pA|epididymis secretory sperm binding protein Li 163pA
2	A2M	alpha-2-macroglobulin	12	protein-coding	A2MD|CPAMD5|FWP007|S863-7	alpha-2-macroglobulin|C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5|alpha-2-M
3	A2MP1	alpha-2-macroglobulin pseudogene 1	12	pseudo	A2MP	pregnancy-zone protein pseudogene
9	NAT1	N-acetyltransferase 1	8	protein-coding	AAC1|MNAT|NAT-1|NATI	arylamine N-acetyltransferase 1|N-acetyltransferase 1 (arylamine N-acetyltransferase)|N-acetyltransferase type 1|arylamide acetylase 1|monomorphic arylamine N-acetyltransferase
10	NAT2	N-acetyltransferase 2	8	protein-coding	AAC2|NAT-2|PNAT	arylamine N-acetyltransferase 2|N-acetyltransferase 2 (arylamine N-acetyltransferase)|N-acetyltransferase type 2|arylamide acetylase 2
11	NATP	N-acetyltransferase pseudogene	8	pseudo	AACP|NATP1	arylamide acetylase pseudogene
12	SERPINA3	serpin family A member 3	14	protein-coding	AACT|ACT|GIG24|GIG25	alpha-1-antichymotrypsin|cell growth-inhibiting gene 24/25 protein|growth-inhibiting protein 24|growth-inhibiting protein 25|serine (or cysteine) proteinase inhibitor, clade A, member 3|serpin A3|serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3
13	AADAC	arylacetamide deacetylase	3	protein-coding	CES5A1|DAC	arylacetamide deacetylase|arylacetamide deacetylase (esterase)
14	AAMP	angio associated migratory cell protein	2	protein-coding		angio-associated migratory cell protein
15	AANAT	aralkylamine N-acetyltransferase	17	protein-coding	DSPS|SNAT	serotonin N-acetyltransferase|arylalkylamine N-acetyltransferase|serotonin acetylase
16	AARS	alanyl-tRNA synthetase	16	protein-coding	CMT2N|EIEE29	alanine--tRNA ligase, cytoplasmic|alaRS|alanine tRNA ligase 1, cytoplasmic|alanyl-tRNA synthetase, cytoplasmic|renal carcinoma antigen NY-REN-42
17	AAVS1	adeno-associated virus integration site 1	19	other	AAV	
18	ABAT	4-aminobutyrate aminotransferase	16	protein-coding	GABA-AT|GABAT|NPD009	4-aminobutyrate aminotransferase, mitochondrial|(S)-3-amino-2-methylpropionate transaminase|4-aminobutyrate transaminase|GABA aminotransferase|GABA transaminase|GABA transferase|gamma-amino-N-butyrate transaminase
19	ABCA1	ATP binding cassette subfamily A member 1	9	protein-coding	ABC-1|ABC1|CERP|HDLDT1|TGD	ATP-binding cassette sub-family A member 1|ATP-binding cassette transporter A1|ATP-binding cassette, sub-family A (ABC1), member 1|cholesterol efflux regulatory protein|membrane-bound
20	ABCA2	ATP binding cassette subfamily A member 2	9	protein-coding	ABC2	ATP-binding cassette sub-family A member 2|ATP-binding cassette 2|ATP-binding cassette transporter 2|ATP-binding cassette, sub-family A (ABC1), member 2|ATP-binding cassette, sub-family A, member 2
21	ABCA3	ATP binding cassette subfamily A member 3	16	protein-coding	ABC-C|ABC3|EST111653|LBM180|SMDP3	ATP-binding cassette sub-family A member 3|ABC transporter 3|ABC-C transporter|ATP-binding cassette transporter 3|ATP-binding cassette, sub-family A (ABC1), member 3
22	ABCB7	ATP binding cassette subfamily B member 7	X	protein-coding	ABC7|ASAT|Atm1p|EST140535	ATP-binding cassette sub-family B member 7, mitochondrial|ABC transporter 7 protein|ATP-binding cassette transporter 7|ATP-binding cassette, sub-family B (MDR/TAP), member 7
23	ABCF1	ATP binding cassette subfamily F member 1	6	protein-coding	ABC27|ABC50	ATP-binding cassette sub-family F member 1|ATP-binding cassette 50 (TNF-alpha stimulated)|ATP-binding cassette, sub-family F (GCN20), member 1|TNF-alpha-stimulated ABC protein|TNFalpha-inducible ATP-binding protein
24	ABCA4	ATP binding cassette subfamily A member 4	1	protein-coding	ABC10|ABCR|ARMD2|CORD3|FFM|RMP|RP19|STGD|STGD1	retinal-specific ATP-binding cassette transporter|ATP binding cassette transporter|ATP-binding cassette sub-family A member 4|ATP-binding cassette transporter, retinal-specific|ATP-binding cassette, sub-family A (ABC1), member 4|ATP-binding transporter, retina-specific|RIM ABC transporter|RIM protein|photoreceptor rim protein|retina-specific ABC transporter|stargardt disease protein
25	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	9	protein-coding	ABL|CHDSKM|JTK7|bcr/abl|c-ABL|c-ABL1|p150|v-abl	tyrosine-protein kinase ABL1|Abelson tyrosine-protein kinase 1|bcr/c-abl oncogene protein|c-abl oncogene 1, receptor tyrosine kinase|proto-oncogene c-Abl|proto-oncogene tyrosine-protein kinase ABL1|v-abl Abelson murine leukemia viral oncogene homolog 1
26	AOC1	amine oxidase, copper containing 1	7	protein-coding	ABP|ABP1|DAO|DAO1|KAO	amiloride-sensitive amine oxidase [copper-containing]|amiloride binding protein 1 (amine oxidase (copper-containing))|amiloride-binding protein 1|amiloride-sensitive amine oxidase|amine oxidase copper domain-containing protein 1|diamine oxidase|histaminase|kidney amine oxidase
27	ABL2	ABL proto-oncogene 2, non-receptor tyrosine kinase	1	protein-coding	ABLL|ARG	Abelson tyrosine-protein kinase 2|abelson-related gene protein|c-abl oncogene 2, non-receptor tyrosine kinase|tyrosine-protein kinase ARG|v-abl Abelson murine leukemia viral oncogene homolog 2
28	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	9	protein-coding	A3GALNT|A3GALT1|GTB|NAGAT	histo-blood group ABO system transferase|ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)|B(A) alpha-1,3-galactosyltransferase|histo-blood group A2 transferase
29	ABR	ABR, RhoGEF and GTPase activating protein	17	protein-coding	MDB	active breakpoint cluster region-related protein|active BCR-related
30	ACAA1	acetyl-CoA acyltransferase 1	3	protein-coding	ACAA|PTHIO|THIO	3-ketoacyl-CoA thiolase, peroxisomal|acetyl-Coenzyme A acyltransferase 1|beta-ketothiolase|peroxisomal 3-oxoacyl-CoA thiolase|peroxisomal 3-oxoacyl-Coenzyme A thiolase|testicular tissue protein Li 197
31	ACACA	acetyl-CoA carboxylase alpha	17	protein-coding	ACAC|ACACAD|ACC|ACC1|ACCA	acetyl-CoA carboxylase 1|ACC-alpha|acetyl-Coenzyme A carboxylase alpha
32	ACACB	acetyl-CoA carboxylase beta	12	protein-coding	ACC2|ACCB|HACC275	acetyl-CoA carboxylase 2|ACC-beta|acetyl-Coenzyme A carboxylase beta
33	ACADL	acyl-CoA dehydrogenase long chain	2	protein-coding	ACAD4|LCAD	long-chain specific acyl-CoA dehydrogenase, mitochondrial|acyl-Coenzyme A dehydrogenase, long chain
34	ACADM	acyl-CoA dehydrogenase medium chain	1	protein-coding	ACAD1|MCAD|MCADH	medium-chain specific acyl-CoA dehydrogenase, mitochondrial|acyl-CoA dehydrogenase, C-4 to C-12 straight chain|acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain|medium-chain acyl-CoA dehydrogenase|testicular tissue protein Li 7
35	ACADS	acyl-CoA dehydrogenase short chain	12	protein-coding	ACAD3|SCAD	short-chain specific acyl-CoA dehydrogenase, mitochondrial|acyl-CoA dehydrogenase, C-2 to C-3 short chain|acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain|butyryl-CoA dehydrogenase|mitochondrial short-chain specific acyl-CoA dehydrogenase|unsaturated acyl-CoA reductase
36	ACADSB	acyl-CoA dehydrogenase short/branched chain	10	protein-coding	2-MEBCAD|ACAD7|SBCAD	short/branched chain specific acyl-CoA dehydrogenase, mitochondrial|2-methyl branched chain acyl-CoA dehydrogenase|2-methylbutyryl-coenzyme A dehydrogenase|acyl-Coenzyme A dehydrogenase, short/branched chain
37	ACADVL	acyl-CoA dehydrogenase very long chain	17	protein-coding	ACAD6|LCACD|VLCAD	very long-chain specific acyl-CoA dehydrogenase, mitochondrial|acyl-Coenzyme A dehydrogenase, very long chain
38	ACAT1	acetyl-CoA acetyltransferase 1	11	protein-coding	ACAT|MAT|T2|THIL	acetyl-CoA acetyltransferase, mitochondrial|acetoacetyl Coenzyme A thiolase|acetoacetyl-CoA thiolase|acetyl-Coenzyme A acetyltransferase 1|mitochondrial acetoacetyl-CoA thiolase|testicular tissue protein Li 198
39	ACAT2	acetyl-CoA acetyltransferase 2	6	protein-coding		acetyl-CoA acetyltransferase, cytosolic|acetoacetyl Coenzyme A thiolase|acetyl-CoA transferase-like protein|cytosolic acetoacetyl-CoA thiolase
40	ASIC2	acid sensing ion channel subunit 2	17	protein-coding	ACCN|ACCN1|ASIC2a|BNC1|BNaC1|MDEG|hBNaC1	acid-sensing ion channel 2|acid sensing (proton gated) ion channel 2|amiloride-sensitive cation channel 1, neuronal|brain sodium channel 1|mammalian degenerin homolog|neuronal amiloride-sensitive cation channel 1
41	ASIC1	acid sensing ion channel subunit 1	12	protein-coding	ACCN2|ASIC|BNaC2	acid-sensing ion channel 1|Cation channel, amiloride-sensitive, neuronal, 2|acid sensing (proton gated) ion channel 1|acid-sensing ion channel 1a protein|amiloride-sensitive cation channel 2, neuronal|brain sodium channel 2
43	ACHE	acetylcholinesterase (Cartwright blood group)	7	protein-coding	ACEE|ARACHE|N-ACHE|YT	acetylcholinesterase|Yt blood group|acetylcholinesterase (Yt blood group)|apoptosis-related acetylcholinesterase
46	ACLS	acrocallosal syndrome	12	unknown		
47	ACLY	ATP citrate lyase	17	protein-coding	ACL|ATPCL|CLATP	ATP-citrate synthase|ATP-citrate (pro-S-)-lyase|citrate cleavage enzyme
48	ACO1	aconitase 1	9	protein-coding	ACONS|HEL60|IREB1|IREBP|IREBP1|IRP1	cytoplasmic aconitate hydratase|IRE-BP 1|aconitase 1, soluble|aconitate hydratase, cytoplasmic|citrate hydro-lyase|cytosplasmic aconitase|epididymis luminal protein 60|ferritin repressor protein|iron regulatory protein 1|iron-responsive element-binding protein 1|soluble aconitase
