cumulative_attempts	attempts	complete	unchanged	same_edge	self_loop	duplicate	undirected_duplicate	excluded	metaedge	abbrev	permutation
2926	2927	0.10002	0.48756	0	0	0.090878	0	0	Gene - participates - Cancer-Hallmarks	GpH	1
5852	2926	0.20001	0.24973	0	0	0.085099	0	0	Gene - participates - Cancer-Hallmarks	GpH	1
8778	2926	0.29999	0.14625	0	0	0.079631	0	0	Gene - participates - Cancer-Hallmarks	GpH	1
11704	2926	0.39998	0.096911	0	0	0.086466	0	0	Gene - participates - Cancer-Hallmarks	GpH	1
14630	2926	0.49997	0.073401	0.00034176	0	0.083732	0	0	Gene - participates - Cancer-Hallmarks	GpH	1
17556	2926	0.59995	0.060416	0	0	0.082023	0	0	Gene - participates - Cancer-Hallmarks	GpH	1
20482	2926	0.69994	0.056862	0	0	0.084416	0	0	Gene - participates - Cancer-Hallmarks	GpH	1
23408	2926	0.79992	0.055768	0	0	0.085783	0	0	Gene - participates - Cancer-Hallmarks	GpH	1
26334	2926	0.89991	0.057682	0.00034176	0	0.086124	0	0	Gene - participates - Cancer-Hallmarks	GpH	1
29260	2926	0.9999	0.061099	0.00034176	0	0.083732	0	0	Gene - participates - Cancer-Hallmarks	GpH	1
29263	3	1	0.060962	0	0	0	0	0	Gene - participates - Cancer-Hallmarks	GpH	1
41670	41671	0.1	0.48637	0	0	0.080968	0	0	Gene - participates - Cell-type-Gene-Sets	GpC8	1
83340	41670	0.2	0.24798	0	0	0.081881	0	0	Gene - participates - Cell-type-Gene-Sets	GpC8	1
125010	41670	0.3	0.13857	0	0	0.084473	0	0	Gene - participates - Cell-type-Gene-Sets	GpC8	1
166680	41670	0.39999	0.088273	2.3998e-05	0	0.083705	0	0	Gene - participates - Cell-type-Gene-Sets	GpC8	1
208350	41670	0.49999	0.06489	0	0	0.082385	0	0	Gene - participates - Cell-type-Gene-Sets	GpC8	1
250020	41670	0.59999	0.054398	0	0	0.083009	0	0	Gene - participates - Cell-type-Gene-Sets	GpC8	1
291690	41670	0.69999	0.04789	2.3998e-05	0	0.080202	0	0	Gene - participates - Cell-type-Gene-Sets	GpC8	1
333360	41670	0.79999	0.045451	0	0	0.085601	0	0	Gene - participates - Cell-type-Gene-Sets	GpC8	1
375030	41670	0.89999	0.044434	4.7996e-05	0	0.084017	0	0	Gene - participates - Cell-type-Gene-Sets	GpC8	1
416700	41670	0.99998	0.043522	2.3998e-05	0	0.085481	0	0	Gene - participates - Cell-type-Gene-Sets	GpC8	1
416707	7	1	0.043503	0	0	0	0	0	Gene - participates - Cell-type-Gene-Sets	GpC8	1
16843	16844	0.1	0.51016	0	0	0.13085	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	1
33686	16843	0.2	0.28206	0	0	0.13418	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	1
50529	16843	0.3	0.17343	0	0	0.13186	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	1
67372	16843	0.4	0.12216	0	0	0.12985	0	0	Gene - participates - Computational-Gene-Sets-CGN	GpC4CGN	1
