metanode	abbreviation	metaedges	nodes	unconnected_nodes
Cancer-Hallmarks	H	1	50	0
Cell-type-Gene-Sets	C8	1	693	0
Computational-Gene-Sets-CGN	C4CGN	1	427	0
Computational-Gene-Sets-CM	C4CM	1	431	0
Curated-Gene-Sets-CPG	C2CPG	1	3355	0
Curated-Gene-Sets-REACTOME	C2CPREACTOME	1	1611	0
GO-Gene-Sets-BP	C5BP	1	7533	0
GO-Gene-Sets-CC	C5CC	1	985	0
GO-Gene-Sets-MF	C5MF	1	1719	0
Gene	G	15	20703	1288
Immunologic-Gene-Sets	C7	1	5207	0
Motif-Gene-Sets-MIR	C3MIR	1	2595	0
Motif-Gene-Sets-TFT	C3TFT	1	1025	0
Oncogenic-Gene-Sets	C6	1	189	0
Positional-Gene-Sets	C1	1	292	0
xCell-Cell-Type	XCELL	1	489	0
